ID,Form_ID,Example_ID,Slice
nki-1-0,ser3inpx,nki-1,0
nki-1-1,ponadir,nki-1,1
nki-1-2,wene1sacomedpst,nki-1,2
nki-1-3,ser3inpx,nki-1,3
nki-1-4,karaiwabrazilian,nki-1,4
nki-1-5,nonoland,nki-1,5
nki-1-6,ponadir,nki-1,6
nki-2-0,atwhin,nki-2,0
nki-2-1,pabout,nki-2,1
nki-2-2,owanothing,nki-2,2
nki-2-3,sen3inpx,nki-2,3
nki-2-4,poloc,nki-2,4
nki-2-5,jauhp1fatherinlaw,nki-2,5
nki-2-6,teesepstsacoppst,nki-2,6
nki-2-7,enkimanenkiman,nki-2,7
nki-3-0,suurinansurinam,nki-3,0
nki-3-1,poloc,nki-3,1
nki-3-2,jiwei1sacopg,nki-3,2
nki-3-3,mahtaowhen,nki-3,3
nki-4-0,ohkcomeimper,nki-4,0
nki-4-1,ohkcomeimper,nki-4,1
nki-4-2,ohkcomeimper,nki-4,2
nki-4-3,ohkcomeimper,nki-4,3
nki-4-4,ohkcomeimper,nki-4,4
nki-5-0,nkan3sasaypresdbt,nki-5,0
nki-5-1,enkimanenkiman,nki-5,1
nki-5-2,w1,nki-5,2
nki-5-3,jato,nki-5,3
nki-6-0,irmeso,nki-6,0
nki-6-1,we1sacomeipst,nki-6,1
nki-6-2,sen3inpx,nki-6,2
nki-6-3,ponadir,nki-6,3
nki-6-4,enkimanenkiman,nki-6,4
nki-6-5,ijomi3wordpsfx,nki-6,5
nki-6-6,imoitoo3obeycirc,nki-6,6
nki-6-7,meess,nki-6,7
nki-7-0,ser3inpx,nki-7,0
nki-7-1,ponadir,nki-7,1
nki-8-0,kpewabut,nki-8,0
nki-8-1,enkimanenkiman,nki-8,1
nki-8-2,ntn3sagoipst,nki-8,2
nki-8-3,parpt,nki-8,3
nki-8-4,twrnootherent,nki-8,4
nki-8-5,roidtf,nki-8,5
nki-8-6,tunariver,nki-8,6
nki-8-7,hkahdir,nki-8,7
nki-8-8,parpt,nki-8,8
nki-9-0,taanyonder,nki-9,0
nki-9-1,okomokokomoki,nki-9,1
nki-9-2,taealon,nki-9,2
nki-10-0,irmeso,nki-10,0
nki-10-1,sen3inpx,nki-10,1
nki-10-2,poloc,nki-10,2
nki-10-3,jiwehtoo1sacopcirc,nki-10,3
nki-10-4,meess,nki-10,4
nki-10-5,w1,nki-10,5
nki-10-6,rkenonly,nki-10,6
nki-11-0,maattn,nki-11,0
nki-11-1,jipata1villagepsfx,nki-11,1
nki-11-2,wrpbadthing,nki-11,2
nki-11-3,meess,nki-11,3
nki-11-4,teesepstsacoppst,nki-11,4
nki-11-5,meekorobushnegro,nki-11,5
nki-12-0,patavillage,nki-12,0
nki-12-1,thkrnmaepstattackpst,nki-12,1
nki-12-2,meekorobushnegro,nki-12,2
nki-12-3,jaagt,nki-12,3
nki-13-0,irmeso,nki-13,0
nki-13-1,irnp3inanapst,nki-13,1
nki-13-2,poloc,nki-13,2
nki-13-3,roidtf,nki-13,3
nki-13-4,jiwehtoo1sacopcirc,nki-13,4
nki-13-5,meess,nki-13,5
nki-13-6,sen3inpx,nki-13,6
nki-13-7,poloc,nki-13,7
nki-14-0,tewagoneg,nki-14,0
