ID,Language_ID,Translated_Text,Comment,Primary_Text,Analyzed_Word,Gloss,Source
nki-1,tri,"I came here, to this Brazilian land.",,"Serë=pona wëene, serë karaiwa nono=pona.",serə	pona	w-əe-ne	serə	karaiwa	nono	pona,3InPx	Dir	1Sa-come-DPst	3InPx	Brazilian	land	Dir,SM-tri
nki-2,tri,"What for? No, (= just/simply) Enkiman, my father-in-law, was here,","Naaki pronounces almost /jaupï/; he seems to be a K-Tiriyó speaker (with some influence from his H-Tiriyó environment at Missão Tiriós). He also had /au/ instead of /ao/ in /jauhpï/, unlike Asehpë; part of the dialectal variation? I bet /au/ vs. /ao/ varies according to dialect (perhaps even according to idiolect).","Atï=pë, owa, sen=po jauhpï teese, Enkiman.",atɨ	pə	owa	sen	po	j-auhpɨ	t-Ø-ee-se	enkiman,wh.In	about	nothing	3InPx	Loc	1-father.in.law	Pst-Sa-Cop-Pst	Enkiman,SM-tri
nki-3,tri,While I was in Surinam,Probably /jiwei=nmahtao/ --check!,Suurinan=po jiwei=mahtao,suurinan	po	ji-w-ei-Ø	mahtao,Surinam	Loc	1-Sa-Cop-G	when,SM-tri
nki-4,tri,"come, come, come, come, come,",,ohkë ohkë ohkë ohkë ohkë,oh-kə	oh-kə	oh-kə	oh-kə	oh-kə,come-Imper	come-Imper	come-Imper	come-Imper	come-Imper,SM-tri
nki-5,tri,said Enkiman to me.,,"nkan, Enkiman wïja.",n-ka-Ø-n	enkiman	wɨ	ja,3Sa-say-Pres-Dbt	Enkiman	1	to,SM-tri
nki-6,tri,"Then I came here to obey Enkiman's words,",,"Irëme wëe sen=pona Enkiman ijomi imoitoo=me,",irəme	w-əe-Ø	sen	pona	enkiman	i-jomi-Ø	i-moi-too	me,so	1Sa-come-I.Pst	3InPx	Dir	Enkiman	3-word-Psfx	3-obey-Circ	Ess,SM-tri
nki-7,tri,to here.,,serë=pona.,serə	pona,3InPx	Dir,SM-tri
nki-8,tri,"But Enkiman went away to another river,",,"Këpëewa Enkiman nïtën=pa tïwërëno=ro tuna=hkah=pa,",kəpəewa	enkiman	nɨ-tən-Ø	pa	tɨwərə-no	ro	tuna	hkah	pa,but	Enkiman	3Sa-go-I.Pst	Rpt	other-Ent	Idtf	river	Dir	Rpt,SM-tri
nki-9,tri,"over there (= far), along the Okomokï river,",,"taanë Okomokï=tae,",taanə	okomokɨ	tae,yonder	Okomokï	alon,SM-tri
nki-10,tri,"then I stayed here, only me (= alone?).",Is there a purpose meaning in the /too=me/? -- check! (doesn't look easy).,"irëme sen=po jiwehtoo=me, wïï=rëken.",irəme	sen	po	ji-w-eh-too	me	wɨɨ	rəken,so	3InPx	Loc	1-Sa-Cop-Circ	Ess	1	only,SM-tri
