ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Root,Morph_Segments
ser3inpx,tri,3InPx,serə,s e r ə,,SM-tri,serə,serə
ponadir,tri,Dir,pona,p o n a,,SM-tri,pona,pona
wene1sacomedpst,tri,1Sa-come-DPst,wəene,w + ə e + n e,,SM-tri,əe,w əe ne
karaiwabrazilian,tri,Brazilian,karaiwa,k a r a i w a,,SM-tri,karaiwa,karaiwa
nonoland,tri,land,nono,n o n o,,SM-tri,nono,nono
atwhin,tri,wh.In,atɨ,a t ɨ,,SM-tri,atɨ,atɨ
pabout,tri,about,pə,p ə,,SM-tri,pə,pə
owanothing,tri,nothing,owa,o w a,,SM-tri,owa,owa
sen3inpx,tri,3InPx,sen,s e n,,SM-tri,sen,sen
poloc,tri,Loc,po,p o,,SM-tri,po,po
jauhp1fatherinlaw,tri,1-father.in.law,jauhpɨ,j + a u h p ɨ,,SM-tri,auhpɨ,j auhpɨ
teesepstsacoppst,tri,Pst-Sa-Cop-Pst,teese,t + 0 + e e + s e,,SM-tri,ee,t Ø ee se
enkimanenkiman,tri,Enkiman,enkiman,e n k i m a n,,SM-tri,enkiman,enkiman
suurinansurinam,tri,Surinam,suurinan,s u u r i n a n,,SM-tri,suurinan,suurinan
jiwei1sacopg,tri,1-Sa-Cop-G,jiwei,j i + w + e i + 0,,SM-tri,ei,ji w ei Ø
mahtaowhen,tri,when,mahtao,m a h t a o,,SM-tri,mahtao,mahtao
ohkcomeimper,tri,come-Imper,ohkə,o h + k ə,,SM-tri,oh,oh kə
nkan3sasaypresdbt,tri,3Sa-say-Pres-Dbt,nkan,n + k a + 0 + n,,SM-tri,ka,n ka Ø n
w1,tri,1,wɨ,w ɨ,,SM-tri,wɨ,wɨ
jato,tri,to,ja,j a,,SM-tri,ja,ja
irmeso,tri,so,irəme,i r ə m e,,SM-tri,irəme,irəme
we1sacomeipst,tri,1Sa-come-I.Pst,wəe,w + ə e + 0,,SM-tri,əe,w əe Ø
ijomi3wordpsfx,tri,3-word-Psfx,ijomi,i + j o m i + 0,,SM-tri,jomi,i jomi Ø
imoitoo3obeycirc,tri,3-obey-Circ,imoitoo,i + m o i + t o o,,SM-tri,moi,i moi too
meess,tri,Ess,me,m e,,SM-tri,me,me
kpewabut,tri,but,kəpəewa,k ə p ə e w a,,SM-tri,kəpəewa,kəpəewa
ntn3sagoipst,tri,3Sa-go-I.Pst,nɨtən,n ɨ + t ə n + 0,,SM-tri,tən,nɨ tən Ø
parpt,tri,Rpt,pa,p a,,SM-tri,pa,pa
twrnootherent,tri,other-Ent,tɨwərəno,t ɨ w ə r ə + n o,,SM-tri,tɨwərə,tɨwərə no
roidtf,tri,Idtf,ro,r o,,SM-tri,ro,ro
tunariver,tri,river,tuna,t u n a,,SM-tri,tuna,tuna
hkahdir,tri,Dir,hkah,h k a h,,SM-tri,hkah,hkah
taanyonder,tri,yonder,taanə,t a a n ə,,SM-tri,taanə,taanə
okomokokomoki,tri,Okomokï,okomokɨ,o k o m o k ɨ,,SM-tri,okomokɨ,okomokɨ
taealon,tri,alon,tae,t a e,,SM-tri,tae,tae
jiwehtoo1sacopcirc,tri,1-Sa-Cop-Circ,jiwehtoo,j i + w + e h + t o o,,SM-tri,eh,ji w eh too
rkenonly,tri,only,rəken,r ə k e n,,SM-tri,rəken,rəken
maattn,tri,Attn,ma,m a,,SM-tri,ma,ma
jipata1villagepsfx,tri,1-village-Psfx,jipata,j i + p a t a + 0,,SM-tri,pata,ji pata Ø
wrpbadthing,tri,bad.thing,wɨrɨpə,w ɨ r ɨ p ə,,SM-tri,wɨrɨpə,wɨrɨpə
meekorobushnegro,tri,bush.negro,meekoro,m e e k o r o,,SM-tri,meekoro,meekoro
patavillage,tri,village,pata,p a t a,,SM-tri,pata,pata
thkrnmaepstattackpst,tri,Pst-attack-Pst,tɨhkərənmae,t ɨ + h k ə r ə n m a + e,,SM-tri,hkərənma,tɨ hkərənma e
jaagt,tri,Agt,ja,j a,,SM-tri,ja,ja
irnp3inanapst,tri,3InAna-Pst,irənpə,i r ə + n p ə,,SM-tri,irə,irə npə
tewagoneg,tri,go-Neg,təewa,t ə + e w a,,SM-tri,tə,tə ewa
twesepstsacomepst,tri,Pst-Sa-come-Pst,tɨwəese,t ɨ + w + ə e + s e,,SM-tri,əe,tɨ w əe se
