ID,Language_ID,Form,Comment,Parameter_ID
ee-adhoc,tri,ee,Morpheme not identifiable from the dictionary,Cop
tae-adhoc,tri,tae,Morpheme not identifiable from the dictionary,alon
surati-adhoc,tri,surati,Morpheme not identifiable from the dictionary,Surati
tpi-adhoc,tri,tɨpi~,Morpheme not identifiable from the dictionary,Iter~
krnmuku-adhoc,tri,kɨrɨnmuku,Morpheme not identifiable from the dictionary,young.man
epekaa-adhoc,tri,epekaa,Morpheme not identifiable from the dictionary,ask
eet-adhoc,tri,eetɨ,Morpheme not identifiable from the dictionary,uncle
0,tri,Ø-,18/Sep/2021. prs. ,3; 3O; Gen
0-1,tri,-Ø,21/Aug/2019. tam. ,I.Pst
0-2,tri,-Ø,03/Jun/2002. nzr. ,G
a,tri,a,"12/Mar/2002. V. Synchronically, /a/ is probably best seen as a form of /ei/.",Cop
aarena,tri,aarena,"11/Aug/2017. A?. Is this perhaps a postposition (cf. /-na/, possibly a directional)? Can it be nominalized? --check!",downstream
akeresaka,tri,akəresaka,17/Oct/2010. /ka/-reducing. A. ,long.time
akete,tri,akətə,"30/Jul/2017. CV-reducing. Vt. Apparently, to clear an area for a house or village (by cutting all the vegetation). This verb looks related to /ahkëtë/ ´cut´; check possible relationships! How about /ahkëtë/ being an old reduplicated form (i.e. */akëkëtë/ > /ahkëtë/?)",clear; cut
ameraare,tri,ameraarə,14/Oct/2006. A. ,everyone; all; everything; whole
aohpi,tri,aohpɨ,"11/Aug/2017. /-rï/. N. kinship. Maybe /ao/ = 'father-in-law', /aohpï/ = 'mother-in-law' < 'father-in-law's wife' --check!",father.in.law; mother.in.law
apei,tri,apəi,20/Nov/2010. I-reducing. Vt. ,get; catch; seize; take; hold; grab; touch
apo,tri,apo,"30/Jul/2017. /j/-adding. Pp. With person-marking prefixes, a stem-initial /j/ reappers: /ji-japo/, etc. The reflexive form is /ëis-apo/.",like
are,tri,arə,11/Aug/2017. Vt. Note the use of /ët-arë/ 'carry oneself' to mean 'behave' in Leavitt's bible translation.,take; carry
arimika,tri,arimika,13/Mar/2002. Vt. Only for 'raising a child'.,raise
ati,tri,atɨ,13/Mar/2002. Intrg. ,wh.In
e,tri,e-,13/Mar/2002. val. ,Detr
e-1,tri,-e,13/Mar/2002. evd. ,Cty
eeku,tri,eeku,11/Aug/2017. N. plant nature. Used once for 'Dead Sea' (Sautu Eeku) in the bible translation -- that's the only attestation as 'lake'.,sap; juice; stream; lake
ei,tri,ei,13/Mar/2002. I-reducing. Va. Irregular paradigm.,Cop
eka,tri,eka,06/Jul/2011. N. body social. ,name; news
ekarama,tri,ekarama,"11/Aug/2017. Vt. Note: could /ekarama/ be historically /eka/ + /rama/ 'return' -- with /eka/ being something other than 'name'?... (Cf. Wayana /ekarë/ 'give, tell').",give
enkiman,tri,enkiman,07/Jun/2005. Nm. Name of a Tiriyó man.,Enkiman
enuru,tri,enuru,"11/Aug/2017. CV-reducing. Vo. Related to /enu/ 'eye'? Idiomatically used to refer to dead fish that are floating on the river after poisoning (i.e. after using <timbó> for poisoning the water -- a traditional way of fishing). /kana tönuse/ = 'the fish 'was born' ' = 'the poison killed the fish, they are now floating'.",be.born; give.birth
ewaama,tri,ewaama,"04/Jul/2021. Vt. When detransitivized, it means 'to desire (sexually)' (the target being in a /pë[kë]/-phrase). But wait-- it can mean 'desire' also even when non-detransitivized! Maybe something like Port. 'fazer O sentir vontade (p.ex. ajudar = pena)'. Cf. 'seduce'.",have.pity; make.desire
eepi,tri,əepɨ,"30/Jul/2017. CV-reducing non-detr /t/-adding. Va. Irregular conjugation: /wëepï/, /mënepï/, /nepï/, /keepï/. Negative form, both /tëesewa/ and /teesewa/ -- any explanation for the /t/? Maybe related to the /t/-adding verbs? (any difference in social status, e.g. is /tëesewa/ 'more correct'? Frei Bento says so, but... check!)",come
eesapekema,tri,əəsapəkəma,"11/Aug/2017. detr(S=O). Va. Apparently, a detransitivized form of /japëkënma/; however, it seems not to have /nm/, but just /m/ (--check!). Nimrod's translation for /tëësapëkëmae/: 'ik heb niets, ik heb alles nodig'. (Maybe originally related to /jahpë/ 'things'?)",be.in.need
et-1,tri,ət-,22/Jun/2021. val. ,Detr; Recp
etihka,tri,ətɨhka,"30/Jul/2017. detr(S=O). Va. Looks like the source is /tïïka/ 'finish something', but why the /hk/? Maybe it's really /ët-/ +  /tïïka/ + /-ka/?",be.over
hkaka,tri,hkaka,24/Mar/2002. /ka/-reducing. Pp. Used for rivers and water (maybe all liquids -- check!),Dir
hkerenma,tri,hkərənma,"30/Jul/2017. Vt. Possibly a /-ma/-derived verb (cf. /muuma/, from /mure/ or /mmuku/); check potential sources! The /-të/ form has /kërënmatë/, without the initial /h/!--why is that? Apparently synonymous with /aamuurë/ and /erekonma/.",offend; attack; do.evil; insist; rebuke; disturb; harm; harass
hpe-2,tri,-hpə,"11/Aug/2017. pos. There's the possibility that Tiriyó /-hpë/ reflects both PC */-tapo/ (which refers to the O/S and doesn't take person-marking prefixes) and *-/tïpô/ (which refers to the whole event and does take O-marking prefixes) -- I'm willing to bet that the possibility of occurring with O-marking prefixes would differentiate two forms in Tiriyó, /-hpë-1/ 'whole event' and /-hpë-2/ 'past O/S'.",P.pst
i,tri,i-,23/Dec/2016. prs. ,3; 3O; 3A; 3cntf; 3So; 3Sa
