ID,Language_ID,Form,Segments,Comment,Morpheme_ID,Parameter_ID
ee,tri,ee,,Morph not identifiable from the dictionary,ee-adhoc,Cop
tae,tri,tae,,Morph not identifiable from the dictionary,tae-adhoc,alon
surati,tri,surati,,Morph not identifiable from the dictionary,surati-adhoc,Surati
tpi,tri,tɨpi~,,Morph not identifiable from the dictionary,tpi-adhoc,Iter~
krnmuku,tri,kɨrɨnmuku,,Morph not identifiable from the dictionary,krnmuku-adhoc,young.man
epekaa,tri,epekaa,,Morph not identifiable from the dictionary,epekaa-adhoc,ask
eet,tri,eetɨ,,Morph not identifiable from the dictionary,eet-adhoc,uncle
0-0,tri,Ø-,,,0,3; 3O; Gen
0-1-0,tri,-Ø,,,0-1,I.Pst
0-2-0,tri,-Ø,,,0-2,G
a-0,tri,ai,a i,,a,Cop
a-1,tri,a,a,,a,Cop
aarena-0,tri,aarena,a a r e n a,,aarena,downstream
akeresaka-2,tri,akəresaka,a k ə r e s a k a,,akeresaka,long.time
akete-2,tri,akətə,a k ə t ə,,akete,clear; cut
ameraare-1,tri,ameraarə,a m e r a a r ə,,ameraare,everyone; all; everything; whole
aohpi-1,tri,auhpɨ,a u h p ɨ,,aohpi,father.in.law; mother.in.law
apei-3,tri,əpəə,ə p ə ə,,apei,get; catch; seize; take; hold; grab; touch
apo-3,tri,apo,a p o,,apo,like
are-0,tri,arə,a r ə,,are,take; carry
are-1,tri,ərə,ə r ə,,are,take; carry
arimika-0,tri,arimika,a r i m i k a,,arimika,raise
ati-0,tri,atɨ,a t ɨ,,ati,wh.In
e-0,tri,e-,e,,e,Detr
e-1-1,tri,-e,e,,e-1,Cty
eeku-0,tri,eeku,e e k u,,eeku,sap; juice; stream; lake
ei-0,tri,eh,e h,,ei,Cop
ei-1,tri,ei,e i,,ei,Cop
eka-0,tri,eka,e k a,,eka,name; news
ekarama-0,tri,ekarama,e k a r a m a,,ekarama,give
enkiman-0,tri,enkiman,,,enkiman,Enkiman
enuru-0,tri,enuh,e n u h,,enuru,be.born; give.birth
enuru-1,tri,enuu,e n u u,,enuru,be.born; give.birth
ewaama-3,tri,ewaama,e w a a m a,,ewaama,have.pity; make.desire
eepi-4,tri,əe,ə e,,eepi,come
eepi-6,tri,oh,o h,,eepi,come
eesapekema-0,tri,əəsapəkəma,ə ə s a p ə k ə m a,,eesapekema,be.in.need
et-1-0,tri,ə-,ə,,et-1,Detr; Recp
etihka-0,tri,ətɨhka,ə t ɨ h k a,,etihka,be.over
hkaka-2,tri,hkah,h k a h,,hkaka,Dir
hkerenma-1,tri,hkərənma,h k ə r ə n m a,,hkerenma,offend; attack; do.evil; insist; rebuke; disturb; harm; harass
hpe-2-0,tri,-hpə,h p ə,,hpe-2,P.pst
i-1,tri,i-,i,,i,3; 3O; 3A; 3cntf; 3So; 3Sa
iijeeta-4,tri,iijeeta,i i j e e t a,,iijeeta,a.lot
ire-1,tri,irə,i r ə,,ire,3InAna
ireme-0,tri,irəme,i r ə m e,,ireme,so; then
irenehka-0,tri,irənehka,i r ə n e h k a,,irenehka,finally
j-1,tri,j-,j,,j,1; 1O; 1So
j-3,tri,ji-,j i,,j,1; 1O; 1So
ja-0,tri,ja,j a,,ja,to; Agt; for; Causee; from
ja-1,tri,:ja,,,ja,to; Agt; for; Causee; from
ja-1-0,tri,-Ø,,,ja-1,Pres
juru-0,tri,juru,,,juru,Juru
ka-0,tri,ka,k a,,ka,say
kakaime-0,tri,kakaimə,,,kakaime,Kakaimë
karaiwa-0,tri,karaiwa,k a r a i w a,,karaiwa,Brazilian
kawate-0,tri,kawate,,,kawate,Kawate
ke-1,tri,ke,k e,,ke,Inst
ke-2-2,tri,-kə,k ə,,ke-2,Imper
kepeewa-1,tri,kəpəewa,k ə p ə e w a,,kepeewa,but; not.good; against.this; the.opposite; differently
kirimuku-0,tri,kɨrɨmuku,k ɨ r ɨ m u k u,,kirimuku,boy; young.man
ko-1-0,tri,-ko,k o,,ko-1,1
kutarentu-0,tri,kutarentu,,,kutarentu,Kutarentu
ma-0,tri,ma,m a,,ma,Attn; OK
mahtao-0,tri,mahtao,m a h t a o,,mahtao,when
mama-1,tri,man,m a n,,mama,mother; 2:mother
mao-0,tri,mao,m a o,,mao,at.time
mare-0,tri,marə,m a r ə,,mare,too; with
me-1,tri,me,m e,,me,Ess
meekoro-0,tri,meekoro,m e e k o r o,,meekoro,bush.negro
mee-1,tri,məe,m ə e,,mee,3AnPx
mi-1-1,tri,-n,n,,mi-1,Ent
moi-1-0,tri,moi,m o i,,moi-1,obey
moiti-0,tri,moitɨ,m o i t ɨ,,moiti,relative; people; kinsman; neighbor; comrade; some; others
mono-2,tri,mono,m o n o,,mono,big; size
mure-0,tri,mure,m u r e,,mure,child
n-2,tri,n-,n,,n,3Sa; 3So; 3AO; 3Sao
n-5,tri,nɨ-,n ɨ,,n,3Sa; 3So; 3AO; 3Sao
naka-0,tri,naka,n a k a,,naka,end
ne-0,tri,-ne,n e,,ne,A
ne-1-0,tri,-ne,n e,,ne-1,DPst
ne-4-1,tri,-n,n,,ne-4,Dbt
nere-1-0,tri,nərə,n ə r ə,,nere-1,3AnAna
nkere-1,tri,nkərə,n k ə r ə,,nkere,still; yet; too; again; also
no-1-1,tri,-no,n o,,no-1,Ent
nono-0,tri,nono,n o n o,,nono,earth; ground; land
npe-0,tri,-npə,n p ə,,npe,Pst
nte-0,tri,-ntə,n t ə,,nte,Prov
okomoki-0,tri,okomokɨ,,,okomoki,Okomokï
omi-0,tri,jomi,j o m i,,omi,language; word; voice; talk
owa-1,tri,owa,o w a,,owa,no; nothing; nobody
pa-2,tri,pa,p a,,pa,Rpt
papa-0,tri,pah,p a h,,papa,father; 2:father
paruma-0,tri,paruma,,,paruma,Paruma
pata-1,tri,pata,p a t a,,pata,place; village
pee-0,tri,pəe,p ə e,,pee,from; Perl?
peke-1-0,tri,pə,p ə,,peke-1,about; at; on
pijoki-2,tri,pijoo,p i j o o,,pijoki,flounder; hit; beat; whip
pipi-1,tri,pipi,p i p i,,pipi,old.brother; 2:old.brother
pihta-0,tri,pɨhta,p ɨ h t a,,pihta,get.wife
piti-0,tri,pɨ,p ɨ,,piti,wife
po-1,tri,po,p o,,po,Loc
pona-1,tri,pona,p o n a,,pona,Dir
re-0,tri,rə,r ə,,re,Idtf
re-2,tri,ro,r o,,re,Idtf
rekene-0,tri,rəken,r ə k e n,,rekene,only; exactly
renne-0,tri,rən,r ə n,,renne,truly
ri-5,tri,rə,r ə,,ri,do; make; put; turn.on; turn.off
ri-1-0,tri,-Ø,,,ri-1,Psfx
se-4,tri,se,s e,,se,Desid
se-1-1,tri,-e,e,,se-1,Sup; Hab; Pst; Azr
se-1-3,tri,-se,s e,,se-1,Sup; Hab; Pst; Azr
sehkene-0,tri,sehken,s e h k e n,,sehkene,also; same; equal; likewise; equally; so
seni-0,tri,sen,s e n,,seni,3InPx
sere-0,tri,serə,,,sere,3InPx
sewa-0,tri,-ewa,e w a,,sewa,Neg
surati-0,tri,surati,s u r a t i,,surati,soldier
suurinan-2,tri,suurinan,,,suurinan,Surinam
t-1-0,tri,t-,t,,t-1,Pst
t-1-1,tri,tɨ-,t ɨ,,t-1,Pst
t-2-0,tri,t-,t,,t-2,1Sa
taane-1,tri,taanə,t a a n ə,,taane,yonder; always; all?; Intens
tae-1,tri,tae,t a e,,tae,by; along; from
tareno-0,tri,tarəno,t a r ə n o,,tareno,Indian; Tiriyó
te-2,tri,tə,t ə,,te,go
te-5,tri,tən,t ə n,,te,go
tiwere-0,tri,tɨwərə,t ɨ w ə r ə,,tiwere,other; different
tomo-0,tri,ton,t o n,,tomo,Col
tomo-1,tri,tomo,t o m o,,tomo,Col
topo-1-2,tri,-too,t o o,,topo-1,Circ
topo-1-3,tri,-topo,t o p o,,topo-1,Circ
tuna-1,tri,tuna,t u n a,,tuna,water; river
tunta-0,tri,tunta,t u n t a,,tunta,arrive
turu-1,tri,turu,t u r u,,turu,death?; coming?; falling?
w-6,tri,w-,w,,w,1A; 1Sa; 1S
w-9,tri,wɨ-,w ɨ,,w,1A; 1Sa; 1S
w-1-0,tri,Ø-,,,w-1,Sa
w-1-5,tri,VV-,VV,,w-1,Sa
w-1-6,tri,w-,w,,w-1,Sa
waa-2,tri,waa,w a a,,waa,not
wakene-1,tri,wakene,w a k e n e,,wakene,Neg.Ex
wei-1-0,tri,wəi,w ə i,,wei-1,old.sister; 2:old.sister
weri-0,tri,wəri,w ə r i,,weri,woman; yngr.sis; female
werimuku-0,tri,wərimuku,w ə r i m u k u,,werimuku,girl; young.woman
wii-2-0,tri,wɨ,w ɨ,,wii-2,1
wiripe-1,tri,wɨrɨpə,w ɨ r ɨ p ə,,wiripe,bad.one; bad.thing; sin; evil.spirit; evil
